AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sivakasi,205,GEN,Virudhunagar,Ashokan.G,Indian National Congress,246554,183320,74.4 %,17319,9.4%
Sriperumbudur,29,SC,Kancheepuram,Selvaperunthagai,Indian National Congress,327294,262123,80.1 %,10879,4.2%
Srirangam,139,GEN,Tiruchirappalli,Palaniyandi.M,Dravida Munetra Kazhagam,296286,237823,80.3 %,19915,8.4%
Srivaikuntam,216,GEN,Thoothukkudi,Amirtharaj .S,Indian National Congress,214449,163630,76.3 %,17372,10.6%
Srivilliputhur,203,SC,Virudhunagar,Manraj E.M.,All India Anna Dravida Munnetra Kazhagam,238501,183373,76.9 %,12738,6.9%
Sulur,116,GEN,Coimbatore,Kandasamy V.P.,All India Anna Dravida Munnetra Kazhagam,295216,239043,81.0 %,31932,13.4%
Tambaram,31,GEN,Kancheepuram,Raja.S.R,Dravida Munetra Kazhagam,380754,246691,64.8 %,36824,14.9%
Tenkasi,222,GEN,Tirunelveli,Palani Nadar.S,Indian National Congress,275643,212949,77.3 %,370,0.2%
Thalli,56,GEN,Krishnagiri,Ramachandran.T,Communist Party Of India,242107,192056,79.3 %,56226,29.3%
Thanjavur,174,GEN,Thanjavur,Neelamegam T.K.G.,Dravida Munetra Kazhagam,277373,192921,69.6 %,47149,24.4%
Thiru-Vi-Ka-Nagar,15,SC,Chennai,Sivakumar.P,Dravida Munetra Kazhagam,210344,132650,63.1 %,55013,41.5%
Tirukkoyilur,76,GEN,Viluppuram,K.Ponmudy,Dravida Munetra Kazhagam,246907,194178,78.6 %,59680,30.7%
Thirumangalam,196,GEN,Madurai,Udhayakumar R B,All India Anna Dravida Munnetra Kazhagam,268427,219524,81.8 %,14087,6.4%
Thirumayam,181,GEN,Pudukkottai,S.Regupathy,Dravida Munetra Kazhagam,215471,173462,80.5 %,1382,0.8%
Thiruparankundram,195,GEN,Madurai,Rajanchellappa V.V.,All India Anna Dravida Munnetra Kazhagam,304719,233776,76.7 %,29489,12.6%
Thiruporur,33,GEN,Kancheepuram,S.S.Balaji,Viduthalai Chiruthaigal Katchi,270769,224747,83.0 %,1947,0.9%
Thiruthuraipoondi,166,SC,Thiruvarur,Marimuthu K,Communist Party Of India,230016,184573,80.2 %,30068,16.3%
Thiruvaiyaru,173,GEN,Thanjavur,Durai.Chandrasekaran,Dravida Munetra Kazhagam,257341,210250,81.7 %,53650,25.5%
Thiruvallur,4,GEN,Thiruvallur,Raajendran V.G.,Dravida Munetra Kazhagam,260870,212371,81.4 %,22701,10.7%
Thiruvarur,168,GEN,Thiruvarur,Kalaivanan  Poondi  K.,Dravida Munetra Kazhagam,269259,206637,76.7 %,51174,24.8%
Thiruverumbur,142,GEN,Tiruchirappalli,Anbil Mahesh Poyyamozhi,Dravida Munetra Kazhagam,283947,195595,68.9 %,49697,25.4%
Thiruvidaimarudur,170,SC,Thanjavur,Chezhiaan  Govi.,Dravida Munetra Kazhagam,243754,197206,80.9 %,10680,5.4%
Thiyagarayanagar,24,GEN,Chennai,Karunanithi J,Dravida Munetra Kazhagam,231382,136497,59.0 %,137,0.1%
Thondamuthur,119,GEN,Coimbatore,S.P. Velumani,All India Anna Dravida Munnetra Kazhagam,308153,228896,74.3 %,41630,18.2%
Thoothukkudi,214,GEN,Thoothukkudi,P.Geetha Jeevan,Dravida Munetra Kazhagam,279188,186838,66.9 %,50310,26.9%
Thousand Lights,20,GEN,Chennai,Ezhilan N,Dravida Munetra Kazhagam,233867,134555,57.5 %,32462,24.1%
Thuraiyur,146,SC,Tiruchirappalli,S.Stalinkumar,Dravida Munetra Kazhagam,218430,174282,79.8 %,22071,12.7%
Tindivanam,72,SC,Viluppuram,Arjunan P,All India Anna Dravida Munnetra Kazhagam,221033,181015,81.9 %,9753,5.4%
Tiruchendur,215,GEN,Thoothukkudi,Anitha R. Radhakrishnan,Dravida Munetra Kazhagam,234874,173485,73.9 %,25263,14.6%
Tiruchengodu,96,GEN,Namakkal,Eswaran E R,Dravida Munetra Kazhagam,222373,183151,82.4 %,2862,1.6%
