AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Gobichettipalayam,106,GEN,Erode,Sengottaiyan K.A,All India Anna Dravida Munnetra Kazhagam,247467,212974,86.1 %,28563,13.4%
Gudalur,109,SC,The Nilgiris,Pon.Jayaseelan,All India Anna Dravida Munnetra Kazhagam,182352,137240,75.3 %,1945,1.4%
Gudiyattam,46,SC,Vellore,Amulu.V,Dravida Munetra Kazhagam,272216,209931,77.1 %,6901,3.3%
Gummidipoondi,1,GEN,Thiruvallur,Govindarajan T.J,Dravida Munetra Kazhagam,267255,220286,82.4 %,50938,23.1%
Harbour,18,GEN,Chennai,Sekarbabu. P.K,Dravida Munetra Kazhagam,168538,100738,59.8 %,27274,27.1%
Harur,61,SC,Dharmapuri,Sampathkumar.V,All India Anna Dravida Munnetra Kazhagam,236142,196316,83.1 %,30362,15.5%
Hosur,55,GEN,Krishnagiri,Prakaash Y,Dravida Munetra Kazhagam,327242,246122,75.2 %,12367,5.0%
Jayankondam,150,GEN,Perambalur,Kannan Ka So Ka,Dravida Munetra Kazhagam,257745,214507,83.2 %,5452,2.5%
Jolarpet,49,GEN,Vellore,Devaraji.K.,Dravida Munetra Kazhagam,231496,195021,84.2 %,1091,0.6%
Kadayanallur,221,GEN,Tirunelveli,C.Krishnamurali,All India Anna Dravida Munnetra Kazhagam,275470,204318,74.2 %,24349,11.9%
Kalasapakkam,65,GEN,Tiruvannamalai,Saravanan.P.S.T,Dravida Munetra Kazhagam,231257,194841,84.3 %,9222,4.7%
Kallakurichi,80,SC,Viluppuram,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,272974,224601,82.3 %,25891,11.5%
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. Ezhailzrasan,Dravida Munetra Kazhagam,293532,226893,77.3 %,11595,5.1%
